UF,MUNICIPIO,TOTAL,AUTOMOVEL,BONDE,CAMINHAO,CAMINHAO TRATOR,CAMINHONETE,CAMIONETA,CHASSI PLATAF,CICLOMOTOR,MICRO-ONIBUS,MOTOCICLETA,MOTONETA,ONIBUS,QUADRICICLO,REBOQUE,SEMI-REBOQUE,SIDE-CAR,OUTROS,TRATOR ESTEI,TRATOR RODAS,TRICICLO,UTILITARIO
AC,ACRELANDIA,6812,1468,0,498,44,731,56,0,2,10,3373,404,43,0,92,75,0,2,0,0,1,13
AC,ASSIS BRASIL,1931,352,0,25,0,151,21,0,2,2,1220,133,4,0,19,0,0,0,0,0,0,2
AC,BRASILEIA,10338,2434,0,296,177,1282,86,0,4,8,4621,994,20,0,132,249,0,0,0,0,2,33
AC,BUJARI,2288,667,0,129,36,285,15,0,7,6,997,57,14,0,27,46,0,0,0,0,1,1
AC,CAPIXABA,2315,648,0,87,3,249,29,0,5,3,1110,129,17,0,29,4,0,0,0,0,0,2
AC,CRUZEIRO DO SUL,34862,7273,0,739,93,2957,333,1,32,58,16019,6896,84,0,48,189,0,1,0,0,10,129
AC,EPITACIOLANDIA,6813,1889,0,254,109,882,86,0,4,8,2530,758,16,0,104,153,0,0,0,0,3,17
AC,FEIJO,4072,615,0,119,5,357,37,0,33,3,2185,659,12,0,19,9,0,0,0,0,5,14
AC,JORDAO,134,11,0,6,0,13,1,0,0,0,71,32,0,0,0,0,0,0,0,0,0,0
AC,MANCIO LIMA,3889,679,0,101,3,323,30,0,1,5,2169,550,18,0,1,4,0,0,0,0,0,5
AC,MANOEL URBANO,1215,230,0,55,4,155,8,0,2,0,607,114,5,0,25,8,0,0,0,0,0,2
AC,MARECHAL THAUMATURGO,375,10,0,13,0,36,1,0,0,0,266,40,9,0,0,0,0,0,0,0,0,0
AC,PLACIDO DE CASTRO,4981,1357,0,153,16,551,47,0,7,5,2313,402,29,0,69,16,3,0,0,0,6,7
AC,PORTO ACRE,3920,858,0,173,6,440,42,0,6,3,2136,161,47,0,34,8,0,2,0,0,0,4
AC,PORTO WALTER,342,6,0,9,0,31,0,0,0,0,236,54,5,0,0,0,0,0,0,0,0,1
AC,RIO BRANCO,194257,71870,0,4335,536,18065,3545,8,482,263,74631,14198,938,0,3071,903,55,25,0,4,129,1199
AC,RODRIGUES ALVES,1685,208,0,21,1,122,2,0,1,1,1026,293,9,0,0,0,0,0,0,0,0,1
AC,SANTA ROSA DO PURUS,195,17,0,5,1,23,0,0,0,0,125,18,3,0,3,0,0,0,0,0,0,0
