UF,MUNICIPIO,TOTAL,AUTOMOVEL,BONDE,CAMINHAO,CAMINHAO TRATOR,CAMINHONETE,CAMIONETA,CHASSI PLATAF,CICLOMOTOR,MICRO-ONIBUS,MOTOCICLETA,MOTONETA,ONIBUS,QUADRICICLO,REBOQUE,SEMI-REBOQUE,SIDE-CAR,OUTROS,TRATOR ESTEI,TRATOR RODAS,TRICICLO,UTILITARIO,Ano
SP,Bertioga,4251,2547,0,289,4,94,442,2,7,26,525,120,51,0,127,7,0,0,0,10,0,0,2001
SP,Bertioga,4914,2898,0,305,3,164,442,2,8,29,658,165,58,0,160,7,0,0,0,15,0,0,2002
SP,Bertioga,5550,3131,0,323,5,206,450,2,9,35,912,213,53,0,178,8,7,0,0,16,0,2,2003
SP,Bertioga,6150,3372,0,320,6,225,451,2,11,38,1204,244,50,1,192,8,7,0,0,16,0,3,2004
SP,Bertioga,6815,3652,0,325,7,304,422,2,12,38,1477,279,53,1,206,9,7,0,0,18,0,3,2005
SP,Bertioga,7728,3994,0,352,9,362,405,1,11,39,1890,342,62,1,220,10,7,0,0,18,0,5,2006
SP,Bertioga,8825,4418,0,366,11,454,378,1,10,41,2379,430,59,1,235,11,7,0,0,16,0,8,2007
SP,Bertioga,10019,4941,0,381,14,611,305,1,10,44,2817,524,59,1,255,13,8,0,0,17,0,18,2008
SP,Bertioga,11171,5505,0,389,18,701,343,1,9,53,3109,604,94,1,280,12,9,0,0,17,1,25,2009
SP,Bertioga,12774,6427,0,415,17,815,405,1,13,47,3461,699,95,1,303,11,9,1,0,18,2,34,2010
SP,Bertioga,14798,7500,0,462,17,1004,497,1,14,51,3892,815,102,1,346,13,9,2,0,19,3,50,2011
SP,Bertioga,16784,8583,0,508,16,1214,595,1,15,52,4264,926,108,1,375,17,9,4,0,20,4,72,2012
SP,Bertioga,18716,9729,0,517,17,1392,701,1,15,60,4594,1022,104,1,414,17,9,4,0,26,6,87,2013
SP,Bertioga,20105,10444,0,532,18,1522,773,1,15,70,4894,1100,113,1,447,17,9,4,0,27,7,111,2014
SP,Bertioga,21318,11011,0,545,13,1646,818,1,18,66,5233,1157,119,1,490,16,9,5,0,27,7,136,2015
SP,Bertioga,22587,11700,0,556,11,1770,900,1,32,73,5475,1215,105,1,535,16,9,5,0,28,8,147,2016
SP,Bertioga,23694,12361,0,545,13,1822,975,1,38,75,5655,1288,101,1,576,20,9,6,0,29,10,169,2017
