COD_UF,UF,COD_MUN,MUNICIPIO,CAPITAL,REGIAO METROPOLITANA,TIPO,MORTES_2000,MORTES_2001,MORTES_2002,MORTES_2003,MORTES_2004,MORTES_2005,MORTES_2006,MORTES_2007,MORTES_2008,MORTES_2009,MORTES_2010,MORTES_2011,MORTES_2012,MORTES_2013,MORTES_2014,MORTES_2015,MORTES_2016,MORTES_2017,MORTES_2018,MORTES_2019,MORTES_2020
35,SP,350635,Bertioga,0,Regiao Metropolitana da Baixada Santista,Total,8,13,18,7,15,10,13,38,24,30,16,18,26,28,21,18,33,19,10,11,19
35,SP,351350,Cubatao,0,Regiao Metropolitana da Baixada Santista,Total,27,27,32,30,46,43,44,62,44,42,30,33,27,24,34,17,17,12,30,25,29
35,SP,351870,Guaruja,0,Regiao Metropolitana da Baixada Santista,Total,16,19,28,33,23,24,65,70,62,33,37,32,56,52,47,60,56,25,29,44,28
35,SP,352210,Itanhaem,0,Regiao Metropolitana da Baixada Santista,Total,10,23,25,21,29,28,27,14,20,11,25,29,19,29,27,14,18,21,17,19,20
35,SP,353110,Mongagua,0,Regiao Metropolitana da Baixada Santista,Total,11,14,20,18,8,20,12,13,11,16,11,7,12,17,8,9,8,4,5,6,5
35,SP,353760,Peruibe,0,Regiao Metropolitana da Baixada Santista,Total,6,4,10,5,18,19,15,10,13,8,12,16,11,7,5,8,5,7,12,9,14
35,SP,354100,Praia Grande,0,Regiao Metropolitana da Baixada Santista,Total,45,35,47,71,70,56,79,62,64,79,69,73,72,83,49,51,41,53,59,46,60
35,SP,354850,Santos,0,Regiao Metropolitana da Baixada Santista,Total,51,69,69,88,101,99,117,100,111,88,97,99,105,77,57,56,71,51,45,44,50
35,SP,355100,Sao Vicente,0,Regiao Metropolitana da Baixada Santista,Total,30,43,53,49,44,38,56,52,57,41,30,53,49,43,44,33,38,23,36,40,40
35,SP,350635,Bertioga,0,Regiao Metropolitana da Baixada Santista,Pedestres,0,0,0,0,0,2,1,0,0,1,1,1,0,0,0,0,0,0,2,3,2
35,SP,351350,Cubatao,0,Regiao Metropolitana da Baixada Santista,Pedestres,5,14,6,17,19,17,12,24,12,9,7,11,8,4,8,6,2,4,13,8,10
35,SP,351870,Guaruja,0,Regiao Metropolitana da Baixada Santista,Pedestres,2,4,3,3,3,1,1,1,2,0,3,3,7,13,7,3,2,7,6,10,4
35,SP,352210,Itanhaem,0,Regiao Metropolitana da Baixada Santista,Pedestres,1,7,10,7,11,15,9,5,9,3,12,12,8,19,16,9,9,9,11,10,8
35,SP,353110,Mongagua,0,Regiao Metropolitana da Baixada Santista,Pedestres,7,6,12,7,4,13,11,5,7,9,4,0,5,14,5,3,4,3,2,3,2
35,SP,353760,Peruibe,0,Regiao Metropolitana da Baixada Santista,Pedestres,2,1,3,2,2,4,4,9,6,4,6,0,5,2,2,4,2,1,1,2,4
35,SP,354100,Praia Grande,0,Regiao Metropolitana da Baixada Santista,Pedestres,18,9,25,31,15,18,25,25,19,23,20,22,15,32,16,19,10,15,21,18,21
35,SP,354850,Santos,0,Regiao Metropolitana da Baixada Santista,Pedestres,23,29,19,35,43,37,53,35,34,32,40,30,34,33,21,21,21,20,17,9,11
35,SP,355100,Sao Vicente,0,Regiao Metropolitana da Baixada Santista,Pedestres,12,22,25,23,17,13,8,10,12,13,8,7,15,12,19,8,12,6,13,9,16
35,SP,350635,Bertioga,0,Regiao Metropolitana da Baixada Santista,Ciclistas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,2
35,SP,351350,Cubatao,0,Regiao Metropolitana da Baixada Santista,Ciclistas,0,0,0,1,0,0,2,0,1,1,0,1,0,1,1,2,0,0,1,3,4
35,SP,351870,Guaruja,0,Regiao Metropolitana da Baixada Santista,Ciclistas,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,2,3,3,3,5,2
