,UF,MUNICIPIO,TOTAL,AUTOMOVEL,MOTOCICLETA,Ano,Outros
0,SP,Bertioga,4251,2547,525,2001,1179
1,SP,Bertioga,4914,2898,658,2002,1358
2,SP,Bertioga,5550,3131,912,2003,1507
3,SP,Bertioga,6150,3372,1204,2004,1574
4,SP,Bertioga,6815,3652,1477,2005,1686
5,SP,Bertioga,7728,3994,1890,2006,1844
6,SP,Bertioga,8825,4418,2379,2007,2028
7,SP,Bertioga,10019,4941,2817,2008,2261
8,SP,Bertioga,11171,5505,3109,2009,2557
9,SP,Bertioga,12774,6427,3461,2010,2886
10,SP,Bertioga,14798,7500,3892,2011,3406
11,SP,Bertioga,16784,8583,4264,2012,3937
12,SP,Bertioga,18716,9729,4594,2013,4393
13,SP,Bertioga,20105,10444,4894,2014,4767
14,SP,Bertioga,21318,11011,5233,2015,5074
15,SP,Bertioga,22587,11700,5475,2016,5412
16,SP,Bertioga,23694,12361,5655,2017,5678
17,SP,Bertioga,24774,12815,5952,2018,6007
18,SP,Bertioga,26068,13514,6198,2019,6356
19,SP,Bertioga,27596,14414,6465,2020,6717
20,SP,Peruibe,7966,5081,1054,2001,1831
21,SP,Peruibe,8880,5624,1214,2002,2042
22,SP,Peruibe,9612,6023,1427,2003,2162
23,SP,Peruibe,10489,6436,1743,2004,2310
24,SP,Peruibe,11353,6820,2063,2005,2470
25,SP,Peruibe,12505,7392,2408,2006,2705
26,SP,Peruibe,14046,8188,2892,2007,2966
27,SP,Peruibe,15801,9009,3542,2008,3250
28,SP,Peruibe,17954,10165,4184,2009,3605
29,SP,Peruibe,20423,11583,4824,2010,4016
30,SP,Peruibe,22852,12968,5363,2011,4521
31,SP,Peruibe,25426,14585,5786,2012,5055
32,SP,Peruibe,27643,16006,6085,2013,5552
33,SP,Peruibe,29745,17266,6449,2014,6030
34,SP,Peruibe,30988,17915,6730,2015,6343
35,SP,Peruibe,32231,18616,6940,2016,6675
36,SP,Peruibe,33527,19289,7156,2017,7082
37,SP,Peruibe,35022,20109,7410,2018,7503
38,SP,Peruibe,36712,21057,7776,2019,7879
39,SP,Peruibe,38321,22022,8023,2020,8276
40,SP,Cubatao,18838,10499,1573,2001,6766
41,SP,Cubatao,19746,11132,1905,2002,6709
42,SP,Cubatao,20523,11651,2395,2003,6477
43,SP,Cubatao,21955,12518,2937,2004,6500
44,SP,Cubatao,23754,13398,3655,2005,6701
45,SP,Cubatao,26144,14491,4439,2006,7214
46,SP,Cubatao,29575,15955,5395,2007,8225
47,SP,Cubatao,33705,17623,6432,2008,9650
48,SP,Cubatao,37579,19502,7049,2009,11028
49,SP,Cubatao,42470,21432,7650,2010,13388
50,SP,Cubatao,45150,22829,8193,2011,14128
51,SP,Cubatao,47473,24246,8522,2012,14705
52,SP,Cubatao,49987,25473,8984,2013,15530
53,SP,Cubatao,51981,26697,9283,2014,16001
54,SP,Cubatao,53491,27555,9489,2015,16447
55,SP,Cubatao,54459,27978,9681,2016,16800
56,SP,Cubatao,55126,28316,9800,2017,17010
57,SP,Cubatao,56323,28838,10027,2018,17458
58,SP,Cubatao,57880,29512,10322,2019,18046
59,SP,Cubatao,60060,30407,10607,2020,19046
60,SP,Praia Grande,26752,17063,4086,2001,5603
61,SP,Praia Grande,30321,19226,4910,2002,6185
62,SP,Praia Grande,33985,21163,6090,2003,6732
63,SP,Praia Grande,37719,23001,7242,2004,7476
64,SP,Praia Grande,42098,25056,8737,2005,8305
65,SP,Praia Grande,48022,27937,10739,2006,9346
66,SP,Praia Grande,55213,31415,13087,2007,10711
67,SP,Praia Grande,63006,34912,15819,2008,12275
68,SP,Praia Grande,70856,38984,18060,2009,13812
69,SP,Praia Grande,81558,45219,20491,2010,15848
70,SP,Praia Grande,91665,50998,22656,2011,18011
71,SP,Praia Grande,101379,56581,24567,2012,20231
72,SP,Praia Grande,111423,62348,26247,2013,22828
73,SP,Praia Grande,119236,66438,27785,2014,25013
74,SP,Praia Grande,125362,69654,29055,2015,26653
75,SP,Praia Grande,130056,72292,30088,2016,27676
76,SP,Praia Grande,135168,75430,30902,2017,28836
77,SP,Praia Grande,141026,78672,32005,2018,30349
78,SP,Praia Grande,148099,82412,33413,2019,32274
79,SP,Praia Grande,154762,85750,34921,2020,34091
80,SP,Sao Vicente,39252,25272,7450,2001,6530
81,SP,Sao Vicente,44281,27582,9351,2002,7348
82,SP,Sao Vicente,48705,29131,11184,2003,8390
83,SP,Sao Vicente,53485,31009,13058,2004,9418
84,SP,Sao Vicente,59385,33000,15553,2005,10832
85,SP,Sao Vicente,66451,35842,18208,2006,12401
86,SP,Sao Vicente,74245,38950,21225,2007,14070
87,SP,Sao Vicente,81289,41690,23881,2008,15718
88,SP,Sao Vicente,88680,45353,26106,2009,17221
89,SP,Sao Vicente,96429,48904,28626,2010,18899
90,SP,Sao Vicente,104663,52538,31053,2011,21072
91,SP,Sao Vicente,111772,55970,32926,2012,22876
92,SP,Sao Vicente,117924,58920,34461,2013,24543
93,SP,Sao Vicente,124357,61735,36081,2014,26541
94,SP,Sao Vicente,129386,63475,37652,2015,28259
95,SP,Sao Vicente,132453,64272,38720,2016,29461
96,SP,Sao Vicente,135860,65448,39717,2017,30695
97,SP,Sao Vicente,139978,66801,40931,2018,32246
98,SP,Sao Vicente,144884,68433,42439,2019,34012
99,SP,Sao Vicente,150028,70269,43816,2020,35943
100,SP,Santos,156524,106852,20912,2001,28760
101,SP,Santos,161366,108611,22397,2002,30358
102,SP,Santos,167511,110159,24467,2003,32885
103,SP,Santos,174074,111986,26329,2004,35759
104,SP,Santos,181551,114027,28912,2005,38612
105,SP,Santos,191798,118055,31443,2006,42300
106,SP,Santos,204162,122796,34939,2007,46427
107,SP,Santos,214983,126476,37738,2008,50769
108,SP,Santos,226075,131839,39942,2009,54294
109,SP,Santos,238345,136599,42266,2010,59480
110,SP,Santos,250081,140313,44455,2011,65313
111,SP,Santos,259625,143746,46084,2012,69795
112,SP,Santos,266627,145704,47081,2013,73842
113,SP,Santos,269620,145564,47817,2014,76239
114,SP,Santos,271390,145161,48673,2015,77556
115,SP,Santos,271412,143594,49169,2016,78649
116,SP,Santos,272395,143113,49562,2017,79720
117,SP,Santos,275300,143702,50113,2018,81485
118,SP,Santos,277484,143372,50792,2019,83320
119,SP,Santos,278459,142348,51416,2020,84695
120,SP,Guaruja,40936,23973,8993,2001,7970
121,SP,Guaruja,44569,25488,10295,2002,8786
122,SP,Guaruja,48880,26967,12049,2003,9864
123,SP,Guaruja,53434,28251,14069,2004,11114
124,SP,Guaruja,59221,29938,16583,2005,12700
125,SP,Guaruja,65728,32084,19209,2006,14435
126,SP,Guaruja,73275,34742,21991,2007,16542
127,SP,Guaruja,79796,37197,23974,2008,18625
128,SP,Guaruja,86580,40356,25866,2009,20358
129,SP,Guaruja,94674,43875,28176,2010,22623
130,SP,Guaruja,102676,47231,30329,2011,25116
131,SP,Guaruja,109754,50556,31982,2012,27216
132,SP,Guaruja,116512,53541,33650,2013,29321
133,SP,Guaruja,122596,55998,35142,2014,31456
134,SP,Guaruja,127288,57828,36241,2015,33219
135,SP,Guaruja,131223,59315,37205,2016,34703
136,SP,Guaruja,135221,60846,37997,2017,36378
