,Municipio,Tipo,Mortes,Taxa_mortalidade,Ano
0,Bertioga,Total,13,39.8,2001
1,Cubatao,Total,27,24.2,2001
2,Guaruja,Total,19,7.0,2001
3,Itanhaem,Total,23,30.6,2001
4,Mongagua,Total,14,37.8,2001
5,Peruibe,Total,4,7.5,2001
6,Praia Grande,Total,35,17.1,2001
7,Santos,Total,69,16.2,2001
8,Sao Vicente,Total,43,13.8,2001
9,Bertioga,Total,18,52.1,2002
10,Cubatao,Total,32,28.4,2002
11,Guaruja,Total,28,10.1,2002
12,Itanhaem,Total,25,32.6,2002
13,Mongagua,Total,20,52.2,2002
14,Peruibe,Total,10,18.4,2002
15,Praia Grande,Total,47,22.1,2002
16,Santos,Total,69,16.2,2002
17,Sao Vicente,Total,53,16.8,2002
18,Bertioga,Total,7,19.2,2003
19,Cubatao,Total,30,26.3,2003
20,Guaruja,Total,33,11.8,2003
21,Itanhaem,Total,21,26.8,2003
22,Mongagua,Total,18,45.6,2003
23,Peruibe,Total,5,9.1,2003
24,Praia Grande,Total,71,32.3,2003
25,Santos,Total,88,20.6,2003
26,Sao Vicente,Total,49,15.3,2003
27,Bertioga,Total,15,39.2,2004
28,Cubatao,Total,46,40.0,2004
29,Guaruja,Total,23,8.2,2004
30,Itanhaem,Total,29,36.2,2004
31,Mongagua,Total,8,19.7,2004
32,Peruibe,Total,18,32.1,2004
33,Praia Grande,Total,70,30.8,2004
34,Santos,Total,101,23.6,2004
35,Sao Vicente,Total,44,13.6,2004
36,Bertioga,Total,10,23.9,2005
37,Cubatao,Total,43,36.6,2005
38,Guaruja,Total,24,8.4,2005
39,Itanhaem,Total,28,33.7,2005
40,Mongagua,Total,20,46.5,2005
41,Peruibe,Total,19,32.8,2005
42,Praia Grande,Total,56,23.2,2005
43,Santos,Total,99,23.1,2005
44,Sao Vicente,Total,38,11.6,2005
45,Bertioga,Total,13,31.1,2006
46,Cubatao,Total,44,37.5,2006
47,Guaruja,Total,65,22.6,2006
48,Itanhaem,Total,27,32.5,2006
49,Mongagua,Total,12,27.9,2006
50,Peruibe,Total,15,25.9,2006
51,Praia Grande,Total,79,32.7,2006
52,Santos,Total,117,27.3,2006
53,Sao Vicente,Total,56,17.0,2006
54,Bertioga,Total,38,87.2,2007
55,Cubatao,Total,62,52.4,2007
56,Guaruja,Total,70,24.1,2007
57,Itanhaem,Total,14,16.5,2007
58,Mongagua,Total,13,29.5,2007
59,Peruibe,Total,10,17.0,2007
60,Praia Grande,Total,62,25.0,2007
61,Santos,Total,100,23.3,2007
62,Sao Vicente,Total,52,15.7,2007
63,Bertioga,Total,24,53.0,2008
64,Cubatao,Total,44,36.8,2008
65,Guaruja,Total,62,21.2,2008
66,Itanhaem,Total,20,23.2,2008
67,Mongagua,Total,11,24.3,2008
68,Peruibe,Total,13,21.8,2008
69,Praia Grande,Total,64,25.1,2008
70,Santos,Total,111,25.9,2008
71,Sao Vicente,Total,57,17.0,2008
72,Bertioga,Total,30,63.7,2009
73,Cubatao,Total,42,34.8,2009
74,Guaruja,Total,33,11.2,2009
75,Itanhaem,Total,11,12.5,2009
76,Mongagua,Total,16,34.5,2009
77,Peruibe,Total,8,13.2,2009
78,Praia Grande,Total,79,30.2,2009
79,Santos,Total,88,20.5,2009
80,Sao Vicente,Total,41,12.1,2009
81,Bertioga,Total,16,32.8,2010
82,Cubatao,Total,30,24.7,2010
83,Guaruja,Total,37,12.4,2010
84,Itanhaem,Total,25,28.0,2010
