,Municipio,Tipo,Mortes,Taxa_mortalidade,Ano
0,Bertioga,Pedestres,0,0.0,2001
1,Bertioga,Ciclistas,0,0.0,2001
2,Bertioga,Motociclistas,1,3.1,2001
3,Bertioga,Ocupantes de automóvel,0,0.0,2001
4,Bertioga,Outros,12,36.8,2001
5,Cubatao,Pedestres,14,12.5,2001
6,Cubatao,Ciclistas,0,0.0,2001
7,Cubatao,Motociclistas,2,1.8,2001
8,Cubatao,Ocupantes de automóvel,0,0.0,2001
9,Cubatao,Outros,11,9.9,2001
10,Guaruja,Pedestres,4,1.5,2001
11,Guaruja,Ciclistas,0,0.0,2001
12,Guaruja,Motociclistas,1,0.4,2001
13,Guaruja,Ocupantes de automóvel,0,0.0,2001
14,Guaruja,Outros,14,5.1,2001
15,Itanhaem,Pedestres,7,9.3,2001
16,Itanhaem,Ciclistas,0,0.0,2001
17,Itanhaem,Motociclistas,0,0.0,2001
18,Itanhaem,Ocupantes de automóvel,0,0.0,2001
19,Itanhaem,Outros,16,21.3,2001
20,Mongagua,Pedestres,6,16.2,2001
21,Mongagua,Ciclistas,0,0.0,2001
22,Mongagua,Motociclistas,1,2.7,2001
23,Mongagua,Ocupantes de automóvel,1,2.7,2001
24,Mongagua,Outros,6,16.2,2001
25,Peruibe,Pedestres,1,1.9,2001
26,Peruibe,Ciclistas,0,0.0,2001
27,Peruibe,Motociclistas,0,0.0,2001
28,Peruibe,Ocupantes de automóvel,0,0.0,2001
29,Peruibe,Outros,3,5.6,2001
30,Praia Grande,Pedestres,9,4.4,2001
31,Praia Grande,Ciclistas,1,0.5,2001
32,Praia Grande,Motociclistas,0,0.0,2001
33,Praia Grande,Ocupantes de automóvel,1,0.5,2001
34,Praia Grande,Outros,24,11.7,2001
35,Santos,Pedestres,29,6.8,2001
36,Santos,Ciclistas,0,0.0,2001
37,Santos,Motociclistas,5,1.2,2001
38,Santos,Ocupantes de automóvel,4,0.9,2001
39,Santos,Outros,31,7.3,2001
40,Sao Vicente,Pedestres,22,7.0,2001
41,Sao Vicente,Ciclistas,0,0.0,2001
42,Sao Vicente,Motociclistas,1,0.3,2001
43,Sao Vicente,Ocupantes de automóvel,0,0.0,2001
44,Sao Vicente,Outros,20,6.4,2001
45,Bertioga,Pedestres,0,0.0,2002
46,Bertioga,Ciclistas,0,0.0,2002
47,Bertioga,Motociclistas,1,2.9,2002
48,Bertioga,Ocupantes de automóvel,2,5.8,2002
49,Bertioga,Outros,15,43.4,2002
50,Cubatao,Pedestres,6,5.3,2002
51,Cubatao,Ciclistas,0,0.0,2002
52,Cubatao,Motociclistas,1,0.9,2002
53,Cubatao,Ocupantes de automóvel,2,1.8,2002
54,Cubatao,Outros,23,20.4,2002
55,Guaruja,Pedestres,3,1.1,2002
56,Guaruja,Ciclistas,0,0.0,2002
57,Guaruja,Motociclistas,3,1.1,2002
58,Guaruja,Ocupantes de automóvel,1,0.4,2002
59,Guaruja,Outros,21,7.6,2002
60,Itanhaem,Pedestres,10,13.0,2002
61,Itanhaem,Ciclistas,0,0.0,2002
62,Itanhaem,Motociclistas,0,0.0,2002
63,Itanhaem,Ocupantes de automóvel,0,0.0,2002
64,Itanhaem,Outros,15,19.5,2002
65,Mongagua,Pedestres,12,31.3,2002
66,Mongagua,Ciclistas,1,2.6,2002
67,Mongagua,Motociclistas,1,2.6,2002
68,Mongagua,Ocupantes de automóvel,0,0.0,2002
69,Mongagua,Outros,6,15.7,2002
70,Peruibe,Pedestres,3,5.5,2002
71,Peruibe,Ciclistas,1,1.8,2002
72,Peruibe,Motociclistas,0,0.0,2002
73,Peruibe,Ocupantes de automóvel,1,1.8,2002
74,Peruibe,Outros,5,9.2,2002
75,Praia Grande,Pedestres,25,11.8,2002
76,Praia Grande,Ciclistas,1,0.5,2002
77,Praia Grande,Motociclistas,2,0.9,2002
78,Praia Grande,Ocupantes de automóvel,0,0.0,2002
79,Praia Grande,Outros,19,8.9,2002
80,Santos,Pedestres,19,4.5,2002
81,Santos,Ciclistas,2,0.5,2002
82,Santos,Motociclistas,5,1.2,2002
83,Santos,Ocupantes de automóvel,1,0.2,2002
84,Santos,Outros,42,9.8,2002
85,Sao Vicente,Pedestres,25,7.9,2002
86,Sao Vicente,Ciclistas,1,0.3,2002
87,Sao Vicente,Motociclistas,5,1.6,2002
88,Sao Vicente,Ocupantes de automóvel,0,0.0,2002
89,Sao Vicente,Outros,22,7.0,2002
90,Bertioga,Pedestres,0,0.0,2003
91,Bertioga,Ciclistas,0,0.0,2003
92,Bertioga,Motociclistas,3,8.2,2003
93,Bertioga,Ocupantes de automóvel,0,0.0,2003
94,Bertioga,Outros,4,11.0,2003
95,Cubatao,Pedestres,17,14.9,2003
96,Cubatao,Ciclistas,1,0.9,2003
97,Cubatao,Motociclistas,3,2.6,2003
98,Cubatao,Ocupantes de automóvel,0,0.0,2003
99,Cubatao,Outros,9,7.9,2003
100,Guaruja,Pedestres,3,1.1,2003
101,Guaruja,Ciclistas,1,0.4,2003
102,Guaruja,Motociclistas,1,0.4,2003
103,Guaruja,Ocupantes de automóvel,0,0.0,2003
104,Guaruja,Outros,28,10.0,2003
105,Itanhaem,Pedestres,7,8.9,2003
106,Itanhaem,Ciclistas,0,0.0,2003
107,Itanhaem,Motociclistas,0,0.0,2003
108,Itanhaem,Ocupantes de automóvel,0,0.0,2003
109,Itanhaem,Outros,14,17.9,2003
110,Mongagua,Pedestres,7,17.7,2003
111,Mongagua,Ciclistas,1,2.5,2003
112,Mongagua,Motociclistas,1,2.5,2003
113,Mongagua,Ocupantes de automóvel,0,0.0,2003
114,Mongagua,Outros,9,22.8,2003
115,Peruibe,Pedestres,2,3.6,2003
116,Peruibe,Ciclistas,1,1.8,2003
117,Peruibe,Motociclistas,0,0.0,2003
118,Peruibe,Ocupantes de automóvel,0,0.0,2003
119,Peruibe,Outros,2,3.6,2003
120,Praia Grande,Pedestres,31,14.1,2003
121,Praia Grande,Ciclistas,6,2.7,2003
122,Praia Grande,Motociclistas,1,0.5,2003
123,Praia Grande,Ocupantes de automóvel,0,0.0,2003
124,Praia Grande,Outros,33,15.0,2003
125,Santos,Pedestres,35,8.2,2003
126,Santos,Ciclistas,1,0.2,2003
127,Santos,Motociclistas,7,1.6,2003
128,Santos,Ocupantes de automóvel,0,0.0,2003
129,Santos,Outros,45,10.5,2003
130,Sao Vicente,Pedestres,23,7.2,2003
131,Sao Vicente,Ciclistas,0,0.0,2003
132,Sao Vicente,Motociclistas,3,0.9,2003
133,Sao Vicente,Ocupantes de automóvel,0,0.0,2003
134,Sao Vicente,Outros,23,7.2,2003
135,Bertioga,Pedestres,0,0.0,2004
136,Bertioga,Ciclistas,0,0.0,2004
137,Bertioga,Motociclistas,0,0.0,2004
138,Bertioga,Ocupantes de automóvel,2,5.2,2004
139,Bertioga,Outros,13,34.0,2004
140,Cubatao,Pedestres,19,16.5,2004
141,Cubatao,Ciclistas,0,0.0,2004
142,Cubatao,Motociclistas,3,2.6,2004
143,Cubatao,Ocupantes de automóvel,3,2.6,2004
144,Cubatao,Outros,21,18.2,2004
145,Guaruja,Pedestres,3,1.1,2004
146,Guaruja,Ciclistas,2,0.7,2004
147,Guaruja,Motociclistas,5,1.8,2004
148,Guaruja,Ocupantes de automóvel,0,0.0,2004
149,Guaruja,Outros,13,4.6,2004
150,Itanhaem,Pedestres,11,13.7,2004
151,Itanhaem,Ciclistas,2,2.5,2004
152,Itanhaem,Motociclistas,0,0.0,2004
153,Itanhaem,Ocupantes de automóvel,0,0.0,2004
154,Itanhaem,Outros,16,20.0,2004
155,Mongagua,Pedestres,4,9.8,2004
156,Mongagua,Ciclistas,0,0.0,2004
157,Mongagua,Motociclistas,0,0.0,2004
158,Mongagua,Ocupantes de automóvel,0,0.0,2004
159,Mongagua,Outros,4,9.8,2004
160,Peruibe,Pedestres,2,3.6,2004
161,Peruibe,Ciclistas,0,0.0,2004
162,Peruibe,Motociclistas,0,0.0,2004
163,Peruibe,Ocupantes de automóvel,0,0.0,2004
164,Peruibe,Outros,16,28.5,2004
165,Praia Grande,Pedestres,15,6.6,2004
166,Praia Grande,Ciclistas,1,0.4,2004
167,Praia Grande,Motociclistas,1,0.4,2004
168,Praia Grande,Ocupantes de automóvel,0,0.0,2004
169,Praia Grande,Outros,53,23.3,2004
170,Santos,Pedestres,43,10.1,2004
171,Santos,Ciclistas,2,0.5,2004
172,Santos,Motociclistas,10,2.3,2004
173,Santos,Ocupantes de automóvel,4,0.9,2004
174,Santos,Outros,42,9.8,2004
175,Sao Vicente,Pedestres,17,5.3,2004
176,Sao Vicente,Ciclistas,2,0.6,2004
177,Sao Vicente,Motociclistas,4,1.2,2004
178,Sao Vicente,Ocupantes de automóvel,2,0.6,2004
179,Sao Vicente,Outros,19,5.9,2004
180,Bertioga,Pedestres,2,4.8,2005
181,Bertioga,Ciclistas,0,0.0,2005
182,Bertioga,Motociclistas,0,0.0,2005
183,Bertioga,Ocupantes de automóvel,0,0.0,2005
184,Bertioga,Outros,8,19.1,2005
185,Cubatao,Pedestres,17,14.5,2005
186,Cubatao,Ciclistas,0,0.0,2005
187,Cubatao,Motociclistas,5,4.3,2005
188,Cubatao,Ocupantes de automóvel,0,0.0,2005
189,Cubatao,Outros,21,17.9,2005
190,Guaruja,Pedestres,1,0.3,2005
191,Guaruja,Ciclistas,0,0.0,2005
192,Guaruja,Motociclistas,1,0.3,2005
193,Guaruja,Ocupantes de automóvel,0,0.0,2005
194,Guaruja,Outros,22,7.7,2005
195,Itanhaem,Pedestres,15,18.0,2005
196,Itanhaem,Ciclistas,2,2.4,2005
197,Itanhaem,Motociclistas,0,0.0,2005
198,Itanhaem,Ocupantes de automóvel,0,0.0,2005
199,Itanhaem,Outros,11,13.2,2005
200,Mongagua,Pedestres,13,30.3,2005
201,Mongagua,Ciclistas,0,0.0,2005
202,Mongagua,Motociclistas,0,0.0,2005
203,Mongagua,Ocupantes de automóvel,0,0.0,2005
204,Mongagua,Outros,7,16.3,2005
205,Peruibe,Pedestres,4,6.9,2005
206,Peruibe,Ciclistas,0,0.0,2005
207,Peruibe,Motociclistas,0,0.0,2005
208,Peruibe,Ocupantes de automóvel,0,0.0,2005
209,Peruibe,Outros,15,25.9,2005
210,Praia Grande,Pedestres,18,7.5,2005
211,Praia Grande,Ciclistas,1,0.4,2005
212,Praia Grande,Motociclistas,4,1.7,2005
213,Praia Grande,Ocupantes de automóvel,2,0.8,2005
214,Praia Grande,Outros,31,12.8,2005
215,Santos,Pedestres,37,8.6,2005
216,Santos,Ciclistas,1,0.2,2005
217,Santos,Motociclistas,12,2.8,2005
218,Santos,Ocupantes de automóvel,4,0.9,2005
219,Santos,Outros,45,10.5,2005
220,Sao Vicente,Pedestres,13,4.0,2005
221,Sao Vicente,Ciclistas,3,0.9,2005
222,Sao Vicente,Motociclistas,6,1.8,2005
223,Sao Vicente,Ocupantes de automóvel,0,0.0,2005
224,Sao Vicente,Outros,16,4.9,2005
225,Bertioga,Pedestres,1,2.4,2006
226,Bertioga,Ciclistas,0,0.0,2006
227,Bertioga,Motociclistas,0,0.0,2006
228,Bertioga,Ocupantes de automóvel,5,11.9,2006
229,Bertioga,Outros,7,16.7,2006
230,Cubatao,Pedestres,12,10.2,2006
231,Cubatao,Ciclistas,2,1.7,2006
232,Cubatao,Motociclistas,5,4.3,2006
233,Cubatao,Ocupantes de automóvel,0,0.0,2006
234,Cubatao,Outros,25,21.3,2006
235,Guaruja,Pedestres,1,0.3,2006
236,Guaruja,Ciclistas,0,0.0,2006
237,Guaruja,Motociclistas,0,0.0,2006
238,Guaruja,Ocupantes de automóvel,0,0.0,2006
239,Guaruja,Outros,64,22.3,2006
240,Itanhaem,Pedestres,9,10.8,2006
241,Itanhaem,Ciclistas,4,4.8,2006
242,Itanhaem,Motociclistas,0,0.0,2006
243,Itanhaem,Ocupantes de automóvel,3,3.6,2006
244,Itanhaem,Outros,11,13.2,2006
245,Mongagua,Pedestres,11,25.6,2006
246,Mongagua,Ciclistas,0,0.0,2006
247,Mongagua,Motociclistas,0,0.0,2006
248,Mongagua,Ocupantes de automóvel,0,0.0,2006
249,Mongagua,Outros,1,2.3,2006
250,Peruibe,Pedestres,4,6.9,2006
251,Peruibe,Ciclistas,1,1.7,2006
252,Peruibe,Motociclistas,0,0.0,2006
253,Peruibe,Ocupantes de automóvel,0,0.0,2006
254,Peruibe,Outros,10,17.3,2006
255,Praia Grande,Pedestres,25,10.4,2006
256,Praia Grande,Ciclistas,1,0.4,2006
257,Praia Grande,Motociclistas,3,1.2,2006
258,Praia Grande,Ocupantes de automóvel,1,0.4,2006
259,Praia Grande,Outros,49,20.3,2006
260,Santos,Pedestres,53,12.4,2006
261,Santos,Ciclistas,10,2.3,2006
262,Santos,Motociclistas,32,7.5,2006
263,Santos,Ocupantes de automóvel,5,1.2,2006
264,Santos,Outros,17,4.0,2006
265,Sao Vicente,Pedestres,8,2.4,2006
266,Sao Vicente,Ciclistas,6,1.8,2006
267,Sao Vicente,Motociclistas,7,2.1,2006
268,Sao Vicente,Ocupantes de automóvel,0,0.0,2006
269,Sao Vicente,Outros,35,10.6,2006
270,Bertioga,Pedestres,0,0.0,2007
271,Bertioga,Ciclistas,0,0.0,2007
272,Bertioga,Motociclistas,0,0.0,2007
273,Bertioga,Ocupantes de automóvel,6,13.8,2007
274,Bertioga,Outros,32,73.4,2007
275,Cubatao,Pedestres,24,20.3,2007
276,Cubatao,Ciclistas,0,0.0,2007
277,Cubatao,Motociclistas,14,11.8,2007
278,Cubatao,Ocupantes de automóvel,1,0.8,2007
279,Cubatao,Outros,23,19.4,2007
280,Guaruja,Pedestres,1,0.3,2007
281,Guaruja,Ciclistas,0,0.0,2007
282,Guaruja,Motociclistas,0,0.0,2007
283,Guaruja,Ocupantes de automóvel,0,0.0,2007
284,Guaruja,Outros,69,23.8,2007
285,Itanhaem,Pedestres,5,5.9,2007
286,Itanhaem,Ciclistas,3,3.5,2007
287,Itanhaem,Motociclistas,0,0.0,2007
288,Itanhaem,Ocupantes de automóvel,1,1.2,2007
289,Itanhaem,Outros,5,5.9,2007
290,Mongagua,Pedestres,5,11.3,2007
291,Mongagua,Ciclistas,1,2.3,2007
292,Mongagua,Motociclistas,1,2.3,2007
293,Mongagua,Ocupantes de automóvel,6,13.6,2007
294,Mongagua,Outros,0,0.0,2007
295,Peruibe,Pedestres,9,15.3,2007
296,Peruibe,Ciclistas,0,0.0,2007
297,Peruibe,Motociclistas,0,0.0,2007
298,Peruibe,Ocupantes de automóvel,0,0.0,2007
299,Peruibe,Outros,1,1.7,2007
300,Praia Grande,Pedestres,25,10.1,2007
301,Praia Grande,Ciclistas,2,0.8,2007
302,Praia Grande,Motociclistas,6,2.4,2007
303,Praia Grande,Ocupantes de automóvel,1,0.4,2007
304,Praia Grande,Outros,28,11.3,2007
305,Santos,Pedestres,35,8.2,2007
306,Santos,Ciclistas,6,1.4,2007
307,Santos,Motociclistas,30,7.0,2007
308,Santos,Ocupantes de automóvel,6,1.4,2007
309,Santos,Outros,23,5.4,2007
310,Sao Vicente,Pedestres,10,3.0,2007
311,Sao Vicente,Ciclistas,3,0.9,2007
312,Sao Vicente,Motociclistas,7,2.1,2007
313,Sao Vicente,Ocupantes de automóvel,1,0.3,2007
314,Sao Vicente,Outros,31,9.3,2007
315,Bertioga,Pedestres,0,0.0,2008
316,Bertioga,Ciclistas,0,0.0,2008
317,Bertioga,Motociclistas,0,0.0,2008
318,Bertioga,Ocupantes de automóvel,0,0.0,2008
319,Bertioga,Outros,24,53.0,2008
320,Cubatao,Pedestres,12,10.0,2008
321,Cubatao,Ciclistas,1,0.8,2008
322,Cubatao,Motociclistas,9,7.5,2008
323,Cubatao,Ocupantes de automóvel,0,0.0,2008
324,Cubatao,Outros,22,18.4,2008
325,Guaruja,Pedestres,2,0.7,2008
326,Guaruja,Ciclistas,0,0.0,2008
327,Guaruja,Motociclistas,0,0.0,2008
328,Guaruja,Ocupantes de automóvel,0,0.0,2008
329,Guaruja,Outros,60,20.5,2008
330,Itanhaem,Pedestres,9,10.4,2008
331,Itanhaem,Ciclistas,1,1.2,2008
332,Itanhaem,Motociclistas,0,0.0,2008
333,Itanhaem,Ocupantes de automóvel,0,0.0,2008
334,Itanhaem,Outros,10,11.6,2008
335,Mongagua,Pedestres,7,15.5,2008
336,Mongagua,Ciclistas,0,0.0,2008
337,Mongagua,Motociclistas,0,0.0,2008
338,Mongagua,Ocupantes de automóvel,2,4.4,2008
339,Mongagua,Outros,2,4.4,2008
340,Peruibe,Pedestres,6,10.1,2008
341,Peruibe,Ciclistas,1,1.7,2008
342,Peruibe,Motociclistas,0,0.0,2008
343,Peruibe,Ocupantes de automóvel,0,0.0,2008
344,Peruibe,Outros,6,10.1,2008
345,Praia Grande,Pedestres,19,7.5,2008
346,Praia Grande,Ciclistas,6,2.4,2008
347,Praia Grande,Motociclistas,12,4.7,2008
348,Praia Grande,Ocupantes de automóvel,4,1.6,2008
349,Praia Grande,Outros,23,9.0,2008
350,Santos,Pedestres,34,7.9,2008
351,Santos,Ciclistas,6,1.4,2008
352,Santos,Motociclistas,33,7.7,2008
353,Santos,Ocupantes de automóvel,3,0.7,2008
354,Santos,Outros,35,8.2,2008
355,Sao Vicente,Pedestres,12,3.6,2008
356,Sao Vicente,Ciclistas,2,0.6,2008
357,Sao Vicente,Motociclistas,15,4.5,2008
358,Sao Vicente,Ocupantes de automóvel,2,0.6,2008
359,Sao Vicente,Outros,26,7.8,2008
360,Bertioga,Pedestres,1,2.1,2009
361,Bertioga,Ciclistas,0,0.0,2009
362,Bertioga,Motociclistas,0,0.0,2009
363,Bertioga,Ocupantes de automóvel,0,0.0,2009
364,Bertioga,Outros,29,61.6,2009
365,Cubatao,Pedestres,9,7.5,2009
366,Cubatao,Ciclistas,1,0.8,2009
367,Cubatao,Motociclistas,9,7.5,2009
368,Cubatao,Ocupantes de automóvel,0,0.0,2009
369,Cubatao,Outros,23,19.1,2009
370,Guaruja,Pedestres,0,0.0,2009
371,Guaruja,Ciclistas,0,0.0,2009
372,Guaruja,Motociclistas,1,0.3,2009
373,Guaruja,Ocupantes de automóvel,0,0.0,2009
374,Guaruja,Outros,32,10.8,2009
375,Itanhaem,Pedestres,3,3.4,2009
376,Itanhaem,Ciclistas,3,3.4,2009
377,Itanhaem,Motociclistas,0,0.0,2009
378,Itanhaem,Ocupantes de automóvel,4,4.6,2009
379,Itanhaem,Outros,1,1.1,2009
380,Mongagua,Pedestres,9,19.4,2009
381,Mongagua,Ciclistas,0,0.0,2009
382,Mongagua,Motociclistas,0,0.0,2009
383,Mongagua,Ocupantes de automóvel,6,13.0,2009
384,Mongagua,Outros,1,2.2,2009
385,Peruibe,Pedestres,4,6.6,2009
386,Peruibe,Ciclistas,0,0.0,2009
387,Peruibe,Motociclistas,0,0.0,2009
388,Peruibe,Ocupantes de automóvel,0,0.0,2009
389,Peruibe,Outros,4,6.6,2009
390,Praia Grande,Pedestres,23,8.8,2009
391,Praia Grande,Ciclistas,9,3.4,2009
392,Praia Grande,Motociclistas,13,5.0,2009
393,Praia Grande,Ocupantes de automóvel,0,0.0,2009
394,Praia Grande,Outros,34,13.0,2009
395,Santos,Pedestres,32,7.5,2009
396,Santos,Ciclistas,11,2.6,2009
397,Santos,Motociclistas,23,5.4,2009
398,Santos,Ocupantes de automóvel,2,0.5,2009
399,Santos,Outros,20,4.7,2009
400,Sao Vicente,Pedestres,13,3.8,2009
401,Sao Vicente,Ciclistas,3,0.9,2009
402,Sao Vicente,Motociclistas,9,2.7,2009
403,Sao Vicente,Ocupantes de automóvel,7,2.1,2009
404,Sao Vicente,Outros,9,2.7,2009
405,Bertioga,Pedestres,1,2.0,2010
406,Bertioga,Ciclistas,0,0.0,2010
407,Bertioga,Motociclistas,0,0.0,2010
408,Bertioga,Ocupantes de automóvel,0,0.0,2010
409,Bertioga,Outros,15,30.7,2010
410,Cubatao,Pedestres,7,5.8,2010
411,Cubatao,Ciclistas,0,0.0,2010
412,Cubatao,Motociclistas,12,9.9,2010
413,Cubatao,Ocupantes de automóvel,0,0.0,2010
414,Cubatao,Outros,11,9.0,2010
415,Guaruja,Pedestres,3,1.0,2010
416,Guaruja,Ciclistas,0,0.0,2010
417,Guaruja,Motociclistas,6,2.0,2010
418,Guaruja,Ocupantes de automóvel,0,0.0,2010
419,Guaruja,Outros,28,9.4,2010
420,Itanhaem,Pedestres,12,13.4,2010
421,Itanhaem,Ciclistas,4,4.5,2010
422,Itanhaem,Motociclistas,0,0.0,2010
423,Itanhaem,Ocupantes de automóvel,9,10.1,2010
424,Itanhaem,Outros,0,0.0,2010
425,Mongagua,Pedestres,4,8.4,2010
